recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1333467	GCF_000347875.1_WP_002267248.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1480288	GCF_000347875.1_WP_002261948.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1627052	GCF_000347875.1_WP_002280228.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1738406	GCF_000015985.1_WP_009563194.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1772431	GCF_000015985.1_WP_002722657.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	2395005	GCF_000010505.1_WP_039416938.1
GCF_000007645.1_ASM764v1_genomic	NC_005008.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005007.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005006.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005005.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005004.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005003.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000001.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000002.1	81721	GCF_003697165.2_WP_000637953.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000003.1	89883	GCF_022869645.1_WP_082308600.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	14282	GCF_022869645.1_WP_002249454.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	291406	GCF_000007645.1_WP_002440024.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000005.1	129372	GCF_000007645.1_WP_002505510.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000006.1	9570	GCF_000347875.1_WP_255262721.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000007.1	158918	GCF_000347875.1_WP_002263354.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000008.1	224048	GCF_000015985.1_WP_002722338.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	426129	GCF_000015985.1_WP_011841982.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	561960	GCF_000015985.1_WP_009563194.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000010.1	None	None
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	328875	GCF_003697165.2_WP_001293151.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	562368	GCF_022869645.1_WP_002219840.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	730653	GCF_000007645.1_WP_002470184.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	2044148	GCF_000007645.1_WP_025987217.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	2196279	GCF_000007645.1_WP_001829830.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	2480214	GCF_000347875.1_WP_002263985.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	2805044	GCF_000347875.1_D820_RS10845
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	596020	GCF_000347875.1_WP_002261948.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	708575	GCF_000347875.1_WP_002263354.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	788037	GCF_000015985.1_WP_002722657.1
GCF_000015985.1_ASM1598v1_genomic	NC_009040.1	None	None
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	297284	GCF_003697165.2_WP_001161829.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	469866	GCF_003697165.2_WP_001220928.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	558601	GCF_003697165.2_WP_001293151.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	721935	GCF_003697165.2_WP_000645959.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	853153	GCF_003697165.2_WP_001331850.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1356357	GCF_003697165.2_WP_000534351.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1868530	GCF_022869645.1_WP_002219840.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	2024128	GCF_022869645.1_WP_002246944.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	2052960	GCF_000347875.1_WP_002261948.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	2195973	GCF_000015985.1_WP_011841017.1
