recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000007.1	144037	GCF_000347875.1_D820_RS10845
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000008.1	105764	GCF_000015985.1_WP_011840273.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	345657	GCF_000010505.1_PGN_RS11095
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	524200	GCF_000010505.1_WP_012458559.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000010.1	None	None
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	152610	GCF_003697165.2_WP_000534351.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	317145	GCF_022869645.1_WP_002246944.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	519844	GCF_000347875.1_D820_RS10845
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	699454	GCF_000347875.1_WP_255262721.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	1255998	GCF_000347875.1_WP_002311892.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	1470172	GCF_000015985.1_WP_002722657.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	2373391	GCF_000010505.1_PGN_RS11095
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	110550	GCF_000010505.1_WP_012458733.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	359099	GCF_000010505.1_WP_012457298.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	538464	GCF_000010505.1_WP_012458559.1
GCF_000015985.1_ASM1598v1_genomic	NC_009040.1	None	None
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	132892	GCF_003697165.2_WP_001220928.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	526605	GCF_003697165.2_WP_001331850.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	587713	GCF_022869645.1_WP_082308600.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	673078	GCF_022869645.1_WP_002225310.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	685375	GCF_022869645.1_WP_002246944.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	783670	GCF_000007645.1_WP_002440024.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1051969	GCF_000347875.1_WP_002263985.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1181156	GCF_000347875.1_WP_002267248.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1622739	GCF_000347875.1_WP_255262721.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1860475	GCF_000015985.1_WP_011841982.1
