recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1947270	GCF_000010505.1_WP_012457331.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	323500	GCF_003697165.2_WP_001293151.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	398138	GCF_003697165.2_WP_001331850.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	855108	GCF_003697165.2_WP_000637953.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	855461	GCF_022869645.1_WP_002219840.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1205687	GCF_022869645.1_WP_002221497.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1225101	GCF_000007645.1_WP_025987217.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1429628	GCF_000007645.1_WP_002485207.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1793227	GCF_000347875.1_WP_002263985.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	2104579	GCF_000347875.1_D820_RS10845
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	2239186	GCF_000015985.1_WP_011840669.1
GCF_000007645.1_ASM764v1_genomic	NC_005008.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005007.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005006.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005005.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005004.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005003.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000001.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000002.1	84655	GCF_003697165.2_WP_001363072.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000003.1	143831	GCF_022869645.1_IUJ45_RS00635
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	176183	GCF_000007645.1_WP_001829499.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	314899	GCF_000347875.1_WP_002275849.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000005.1	42191	GCF_000015985.1_WP_011840669.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000006.1	37679	GCF_000015985.1_WP_011840409.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000007.1	31051	GCF_000015985.1_WP_011841546.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000008.1	220340	GCF_000015985.1_WP_002722657.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	380502	GCF_000015985.1_WP_011840273.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000009.1	385426	GCF_000010505.1_WP_012457298.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000010.1	None	None
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	59420	GCF_022869645.1_WP_002249454.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	316818	GCF_022869645.1_WP_002219840.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	411650	GCF_022869645.1_WP_002219079.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	798142	GCF_000007645.1_WP_002470184.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	1076397	GCF_000007645.1_WP_025987217.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	1664306	GCF_000007645.1_WP_001829499.1
GCF_000015985.1_ASM1598v1_genomic	NC_009049.1	1806507	GCF_000015985.1_WP_002722338.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	240872	GCF_000015985.1_WP_011841546.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	544624	GCF_000015985.1_WP_002722657.1
GCF_000015985.1_ASM1598v1_genomic	NC_009050.1	644339	GCF_000010505.1_WP_012457644.1
GCF_000015985.1_ASM1598v1_genomic	NC_009040.1	None	None
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	45052	GCF_022869645.1_IUJ45_RS00635
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	527112	GCF_022869645.1_WP_002249454.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	826883	GCF_022869645.1_WP_002219079.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1109323	GCF_000007645.1_WP_001836564.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1400993	GCF_000007645.1_WP_001829767.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1655798	GCF_000007645.1_WP_002485207.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1683568	GCF_000347875.1_WP_002261948.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1851412	GCF_000015985.1_WP_002722338.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	1891095	GCF_000015985.1_WP_009563194.1
GCF_000010505.1_ASM1050v1_genomic	NC_010729.1	2342766	GCF_000010505.1_PGN_RS11095
